ID,m/z
3805,269.1377
3806,269.1593
3807,269.16016
3808,269.16028
3809,269.16068
3812,269.17422
3813,269.17426
3814,269.17429
3815,269.17429
3817,269.17432
3818,269.17435
3819,269.1749
3822,269.95819
3830,270.15454
3832,270.19128
3834,270.20547
3840,271.04727
3844,271.0918
3845,271.09192
3847,271.13556
3848,271.13745
3849,271.14563
3850,271.14713
3851,271.15363
3856,271.19052
3859,271.19061
3862,272.13107
3866,272.15009
3867,272.15997
3869,272.16052
3870,272.16739
3871,272.17105
3873,272.18539
3875,272.22113
3876,272.25778
3880,272.25842
3881,272.25848
3882,272.25861
3883,272.29456
3884,272.29459
3886,272.95203
3889,273.08484
3890,273.08664
3891,273.1077
3892,273.10825
3894,273.11508
3895,273.11508
3896,273.11517
3898,273.12692
3899,273.14383
3900,273.14459
3903,273.15149
3904,273.16956
3908,273.18411
3909,273.1842
3913,274.09003
3914,274.09195
3915,274.11066
3917,274.1217
3920,274.18304
3921,274.18359
3925,274.20123
3927,274.23676
3928,274.27313
3929,274.2739
3930,274.6254
3935,275.103
3936,275.10956
3937,275.12698
3939,275.12729
3940,275.13055
3945,275.16348
3946,275.16354
3947,275.16354
3948,275.1636
3950,275.16397
3952,275.16449
3953,275.16461
3954,275.16461
3956,275.18454
3957,275.20023
3958,275.20029
3959,275.20032
3960,275.20038
3961,275.20038
3962,275.2081
3965,275.9921
3968,276.10101
3970,276.1261
3972,276.14359
3974,276.15872
3975,276.15906
3977,276.19897
3978,276.21674
3980,276.2168
3987,277.10379
3990,277.11865
3992,277.14297
3993,277.14304
3994,277.14304
3995,277.14307
3996,277.1431
3997,277.14316
3999,277.14658
4003,277.17886
4005,277.17972
4006,277.17972
4007,277.17972
4008,277.17972
4009,277.17975
4010,277.17975
4011,277.17975
4012,277.17978
4013,277.17981
4014,277.17981
4015,277.17981
4016,277.17984
4017,277.17984
4018,277.1799
4022,277.21597
4025,278.06863
4026,278.08734
4031,278.13797
4032,278.1423
4033,278.1423
4034,278.14996
4038,278.17538
4039,278.17538
4047,279.09366
4049,279.09778
4052,279.12219
4054,279.12247
4055,279.12253
4056,279.12262
4057,279.12265
4058,279.1333
4059,279.13367
4060,279.13425
4061,279.15845
4062,279.15894
4063,279.159
4064,279.15903
4065,279.15903
4066,279.15906
4068,279.17023
4070,279.19498
4071,279.19507
4072,279.19507
